,State,DC Fast Charge,Level 1,Level 2,EV Network
451,CA,,,1.0,Non-Networked
452,CA,,,1.0,Non-Networked
453,CA,1.0,,2.0,Non-Networked
454,CA,1.0,,4.0,Non-Networked
455,CA,,,1.0,Non-Networked
456,CA,,,1.0,Non-Networked
457,CA,1.0,,3.0,Non-Networked
458,CA,,,2.0,Non-Networked
459,CA,1.0,,2.0,Non-Networked
460,CA,,,1.0,Non-Networked
461,CA,1.0,,2.0,Non-Networked
462,CA,,,1.0,Non-Networked
463,CA,,,1.0,Non-Networked
464,CA,,,1.0,Non-Networked
465,CA,1.0,,3.0,Non-Networked
466,CA,1.0,,2.0,Non-Networked
467,CA,,,1.0,Non-Networked
468,CA,1.0,,2.0,Non-Networked
469,CA,1.0,,2.0,Non-Networked
470,CA,1.0,,2.0,Non-Networked
471,CA,1.0,,1.0,Non-Networked
472,CA,1.0,,2.0,Non-Networked
473,CA,,,1.0,Non-Networked
474,CA,,,1.0,Non-Networked
475,CA,,,1.0,Non-Networked
476,CA,1.0,,1.0,Non-Networked
477,CA,1.0,,3.0,Non-Networked
478,CA,,,1.0,Non-Networked
479,CA,,,1.0,Non-Networked
480,CA,1.0,,2.0,Non-Networked
481,CA,1.0,,2.0,Non-Networked
482,CA,1.0,,1.0,Non-Networked
483,CA,1.0,,2.0,Non-Networked
484,CA,,,4.0,Non-Networked
485,CA,1.0,,1.0,Non-Networked
486,CA,,,1.0,Non-Networked
487,CA,1.0,,3.0,Non-Networked
488,CA,,,1.0,Non-Networked
489,CA,,,1.0,Non-Networked
490,CA,,,2.0,Non-Networked
491,CA,1.0,,1.0,Non-Networked
492,CA,1.0,,1.0,Non-Networked
493,CA,1.0,,2.0,Non-Networked
494,CA,1.0,,1.0,Non-Networked
495,CA,1.0,,1.0,Non-Networked
496,CA,1.0,,1.0,Non-Networked
497,CA,,,2.0,Non-Networked
498,CA,1.0,,1.0,Non-Networked
499,CA,1.0,,2.0,Non-Networked
500,CA,1.0,,2.0,Non-Networked
501,CA,1.0,,4.0,Non-Networked
502,CA,,,1.0,Non-Networked
503,CA,,,1.0,Non-Networked
504,CA,,,4.0,Non-Networked
505,CA,1.0,,2.0,Non-Networked
506,CA,,,1.0,Non-Networked
507,CA,1.0,,1.0,Non-Networked
508,CA,,,2.0,Non-Networked
509,CA,1.0,,2.0,Non-Networked
510,CA,,,1.0,Non-Networked
511,CA,1.0,,1.0,Non-Networked
512,CA,,,1.0,Non-Networked
513,CA,,,3.0,Non-Networked
514,CA,,,1.0,Non-Networked
515,CA,,,1.0,Non-Networked
516,CA,,,1.0,Non-Networked
517,CA,1.0,,1.0,Non-Networked
518,FL,,,1.0,Non-Networked
519,FL,,,1.0,Non-Networked
520,FL,1.0,,1.0,Non-Networked
521,FL,1.0,,1.0,Non-Networked
522,FL,,,1.0,Non-Networked
523,FL,,,1.0,Non-Networked
524,FL,1.0,,1.0,Non-Networked
525,FL,,,1.0,Non-Networked
526,FL,1.0,,1.0,Non-Networked
527,FL,1.0,,1.0,Non-Networked
528,FL,1.0,,1.0,Non-Networked
529,FL,,,1.0,Non-Networked
530,FL,,,1.0,Non-Networked
531,FL,1.0,,1.0,Non-Networked
532,FL,,,1.0,Non-Networked
533,FL,1.0,,1.0,Non-Networked
534,FL,,,1.0,Non-Networked
