,State,DC Fast Charge,Level 1,Level 2,EV Network
786,WA,,1.0,1.0,ChargePoint Network
787,WA,,1.0,1.0,ChargePoint Network
788,WA,,2.0,2.0,ChargePoint Network
789,WA,,,6.0,ChargePoint Network
790,CA,,,2.0,ChargePoint Network
791,CA,,1.0,3.0,ChargePoint Network
792,CA,,,2.0,ChargePoint Network
793,CA,,1.0,1.0,ChargePoint Network
794,CA,,,2.0,ChargePoint Network
795,CA,,,8.0,ChargePoint Network
796,CA,,1.0,3.0,ChargePoint Network
797,CA,,,6.0,ChargePoint Network
798,CA,,,2.0,ChargePoint Network
799,CA,,2.0,2.0,ChargePoint Network
800,CA,,1.0,1.0,ChargePoint Network
801,CA,,1.0,1.0,ChargePoint Network
802,CA,,2.0,2.0,
803,VA,,,1.0,
804,CA,,,4.0,ChargePoint Network
805,IL,,,1.0,ChargePoint Network
806,IL,,,2.0,ChargePoint Network
807,TN,,,6.0,
808,WI,,,3.0,ChargePoint Network
809,WI,,2.0,2.0,ChargePoint Network
810,WI,,1.0,1.0,ChargePoint Network
811,WI,,1.0,1.0,ChargePoint Network
812,WI,,,2.0,ChargePoint Network
813,CA,,,4.0,
814,IL,,,2.0,ChargePoint Network
815,NC,,,2.0,
816,WA,,,2.0,
817,VA,,,2.0,
818,MA,,,1.0,
819,CA,,,1.0,
820,CA,,,10.0,ChargePoint Network
821,NY,,,15.0,ChargePoint Network
822,NY,,,2.0,ChargePoint Network
823,NY,,,2.0,ChargePoint Network
824,NY,,,2.0,ChargePoint Network
825,OR,,,2.0,ChargePoint Network
826,TN,,1.0,1.0,ChargePoint Network
827,TX,,2.0,2.0,ChargePoint Network
828,VA,,,4.0,ChargePoint Network
829,WA,,2.0,2.0,ChargePoint Network
830,WA,,,2.0,ChargePoint Network
831,WA,,1.0,5.0,ChargePoint Network
832,CA,,,3.0,ChargePoint Network
833,CA,,,1.0,ChargePoint Network
834,CA,,,1.0,ChargePoint Network
835,CA,,,2.0,ChargePoint Network
836,CA,,,8.0,ChargePoint Network
837,CA,,1.0,3.0,ChargePoint Network
838,FL,,1.0,1.0,ChargePoint Network
839,FL,,1.0,1.0,ChargePoint Network
840,FL,,,1.0,ChargePoint Network
841,FL,,1.0,1.0,ChargePoint Network
842,FL,,1.0,1.0,ChargePoint Network
843,FL,,1.0,1.0,ChargePoint Network
844,CA,,,1.0,ChargePoint Network
845,FL,,2.0,2.0,ChargePoint Network
846,FL,,,2.0,ChargePoint Network
847,FL,,,2.0,ChargePoint Network
848,FL,1.0,,6.0,ChargePoint Network
849,FL,,,2.0,ChargePoint Network
850,IL,,,2.0,ChargePoint Network
851,MA,,,2.0,ChargePoint Network
852,MI,,1.0,1.0,ChargePoint Network
853,MI,,1.0,1.0,ChargePoint Network
854,MI,,1.0,1.0,ChargePoint Network
855,MI,,3.0,3.0,ChargePoint Network
