,State,DC Fast Charge,Level 1,Level 2,EV Network
547,GA,1.0,,1.0,
548,GA,1.0,,1.0,
549,GA,1.0,,1.0,
550,GA,1.0,,1.0,
551,GA,,,1.0,
552,GA,1.0,,1.0,
553,GA,1.0,,1.0,
554,GA,,,1.0,
555,HI,1.0,,2.0,
556,HI,,,1.0,
557,HI,1.0,,1.0,
558,HI,1.0,,2.0,
559,MD,,,4.0,SemaCharge Network
560,MD,,,4.0,SemaCharge Network
561,MD,,1.0,2.0,
562,MD,,,1.0,
563,MD,,,2.0,
564,MD,,,1.0,
565,MD,,,1.0,
566,MD,,5.0,5.0,ChargePoint Network
567,MD,1.0,,1.0,
568,MD,,,1.0,
569,MD,,,1.0,SemaCharge Network
570,MD,1.0,,1.0,
571,MD,,,1.0,SemaCharge Network
572,MD,,1.0,4.0,ChargePoint Network
573,MN,,1.0,1.0,ChargePoint Network
574,MN,,2.0,2.0,ChargePoint Network
575,MN,,4.0,4.0,
576,MN,,,1.0,
577,MN,,2.0,2.0,ChargePoint Network
578,MN,,2.0,2.0,ChargePoint Network
579,MN,,2.0,4.0,ChargePoint Network
580,MN,,1.0,1.0,ChargePoint Network
581,MN,,,2.0,
582,NC,1.0,,1.0,
583,NC,1.0,,1.0,
584,NC,,,1.0,
585,NC,,,1.0,
586,CA,,,2.0,
587,SC,,,2.0,
588,VA,,,1.0,
589,NJ,,2.0,2.0,ChargePoint Network
590,NV,,,6.0,ChargePoint Network
591,TX,,,4.0,ChargePoint Network
592,TX,,,6.0,ChargePoint Network
593,VA,,,1.0,
594,VA,1.0,,2.0,
595,WA,,,6.0,ChargePoint Network
596,WA,,3.0,3.0,ChargePoint Network
597,WI,,,2.0,ChargePoint Network
598,WI,,,2.0,ChargePoint Network
599,CA,,,11.0,ChargePoint Network
600,CA,,1.0,9.0,ChargePoint Network
601,CA,,1.0,9.0,ChargePoint Network
602,CA,,1.0,9.0,ChargePoint Network
603,CA,,,2.0,ChargePoint Network
604,CA,,1.0,1.0,ChargePoint Network
605,CA,,1.0,1.0,
606,FL,,1.0,1.0,ChargePoint Network
607,FL,,,1.0,ChargePoint Network
608,FL,,,2.0,
609,MI,,1.0,1.0,ChargePoint Network
610,MI,,1.0,1.0,ChargePoint Network
611,MI,,1.0,1.0,ChargePoint Network
612,MI,,1.0,1.0,ChargePoint Network
613,MI,,2.0,2.0,ChargePoint Network
614,MI,,1.0,1.0,ChargePoint Network
615,MN,,1.0,1.0,
616,MO,,1.0,1.0,ChargePoint Network
617,SC,,,1.0,
618,VA,,,1.0,
619,SC,,,2.0,
620,SC,,,1.0,
621,CT,,,1.0,
622,DC,,1.0,1.0,
623,FL,,,2.0,
624,MI,,,1.0,
625,MI,,,1.0,
626,MI,,,24.0,
627,MI,,,2.0,
628,MI,,,1.0,
629,MI,,,2.0,
630,MI,,,1.0,
631,OH,,,2.0,
632,MI,,,2.0,
633,MD,,4.0,2.0,
634,PA,,,2.0,
635,VA,,,3.0,
636,MI,,,4.0,
637,NC,,2.0,2.0,
638,NC,,,2.0,
639,NC,,,1.0,
640,NC,,1.0,1.0,
641,OR,,2.0,3.0,
642,WA,,,8.0,
643,OR,,1.0,1.0,
644,OR,,1.0,1.0,
645,GA,,6.0,6.0,
646,HI,,,1.0,
647,IL,,,2.0,
648,IL,,,1.0,ChargePoint Network
649,MD,,,2.0,SemaCharge Network
650,NH,,2.0,2.0,ChargePoint Network
651,NC,,,2.0,
652,OR,,1.0,1.0,ChargePoint Network
653,OR,,1.0,1.0,ChargePoint Network
654,SC,,,1.0,ChargePoint Network
655,AR,,,1.0,
656,FL,,1.0,1.0,ChargePoint Network
657,FL,,,2.0,ChargePoint Network
658,FL,,,2.0,ChargePoint Network
659,FL,,,2.0,ChargePoint Network
660,FL,,,2.0,ChargePoint Network
661,FL,,,2.0,ChargePoint Network
662,FL,,2.0,2.0,ChargePoint Network
663,FL,,1.0,1.0,ChargePoint Network
664,FL,,1.0,1.0,ChargePoint Network
665,IA,,,1.0,
666,IA,,,1.0,
667,IA,,,1.0,
668,KS,,2.0,2.0,ChargePoint Network
669,MD,,,2.0,ChargePoint Network
670,MD,,,2.0,ChargePoint Network
671,MI,,1.0,1.0,ChargePoint Network
672,MI,,1.0,1.0,
673,MI,,1.0,1.0,ChargePoint Network
674,MI,,1.0,1.0,
675,MI,,1.0,1.0,ChargePoint Network
676,MI,,1.0,1.0,ChargePoint Network
677,MI,,,1.0,ChargePoint Network
678,MI,,1.0,1.0,ChargePoint Network
679,OR,,,2.0,
680,VA,,,1.0,
681,SC,,,1.0,
682,MA,,,2.0,
683,CA,,2.0,2.0,ChargePoint Network
684,CA,,,6.0,ChargePoint Network
685,MD,,,2.0,SemaCharge Network
686,MD,,,5.0,SemaCharge Network
687,NV,,,4.0,ChargePoint Network
688,NY,,,2.0,ChargePoint Network
689,SC,,,3.0,
690,TX,,,4.0,ChargePoint Network
691,TX,,,2.0,ChargePoint Network
692,TX,,,4.0,ChargePoint Network
693,TX,,2.0,2.0,ChargePoint Network
694,TX,,1.0,1.0,ChargePoint Network
695,VA,,2.0,2.0,ChargePoint Network
696,CA,,,2.0,ChargePoint Network
697,CA,,,2.0,ChargePoint Network
698,CA,,,8.0,ChargePoint Network
699,CA,,1.0,3.0,ChargePoint Network
700,CA,,,6.0,ChargePoint Network
701,CA,,,2.0,ChargePoint Network
702,CA,,2.0,2.0,ChargePoint Network
703,CA,,1.0,1.0,ChargePoint Network
704,CA,,1.0,1.0,ChargePoint Network
705,CA,,2.0,2.0,
706,VA,,,1.0,
707,CA,,,4.0,ChargePoint Network
708,TN,,,6.0,
709,WI,,,3.0,ChargePoint Network
710,WI,,,1.0,ChargePoint Network
711,WI,,,2.0,ChargePoint Network
712,CA,,,4.0,
713,NC,,,2.0,
714,WA,,,2.0,
715,VA,,,2.0,
716,MA,,,1.0,
717,CA,,,1.0,
718,NY,,,15.0,ChargePoint Network
719,NY,,,2.0,ChargePoint Network
720,NY,,,2.0,ChargePoint Network
721,NY,,,2.0,ChargePoint Network
722,OR,,,2.0,ChargePoint Network
723,TN,,1.0,1.0,ChargePoint Network
724,TX,,2.0,2.0,ChargePoint Network
725,VA,,,4.0,ChargePoint Network
726,WA,,2.0,2.0,ChargePoint Network
727,WA,,,2.0,ChargePoint Network
728,WA,,,4.0,ChargePoint Network
729,CA,,,3.0,ChargePoint Network
730,CA,,,1.0,ChargePoint Network
731,CA,,,1.0,ChargePoint Network
732,CA,,,2.0,ChargePoint Network
733,CA,,,8.0,ChargePoint Network
734,CA,,1.0,3.0,ChargePoint Network
735,FL,,,1.0,ChargePoint Network
736,CA,,,1.0,ChargePoint Network
737,FL,,,2.0,ChargePoint Network
738,FL,,,2.0,ChargePoint Network
739,FL,1.0,,6.0,ChargePoint Network
740,FL,,,2.0,ChargePoint Network
741,IL,,,2.0,ChargePoint Network
742,MA,,,2.0,ChargePoint Network
743,MI,,1.0,1.0,ChargePoint Network
744,MI,,1.0,1.0,ChargePoint Network
745,MI,,3.0,3.0,ChargePoint Network
746,NC,,2.0,12.0,ChargePoint Network
747,NJ,,,2.0,ChargePoint Network
748,NY,,,3.0,ChargePoint Network
749,NY,,,2.0,ChargePoint Network
750,NY,,,1.0,ChargePoint Network
751,NY,,,1.0,ChargePoint Network
